Date,Time,FW_Ver,Type,SN,Action,FW_Ver,Type,SN,Sig 2 Check,Current Check,Current Value (mA),I2C Check,Heater Check,Heater Current (mA),Thermistor Check,Thermistor Value (Degrees C),Heater Time Check,Heater Time (ms),Stepper Impedance Check,Stepper Impedance - A (Ohm),Stepper Impedance - B (Ohm)Status Code,Error State,Error I2C,Error Timeout,Error Switch,Error Thermal,Power Cycles 1,Power Cycles 2,Motor Actuations 1,Motor Actuations 2,Switch Actuations 1,Switch Actautions 2,Solenoid Actuations 1,Solenoid Actuations 2
Date,Time,FW_Ver,Type,SN,Action,FW_Ver,Type,SN,Sig 2 Check,Current Check,Current Value (mA),I2C Check,Motor Check,Motor Current (mA),Actuate Down Check (ms),Actuate Up Check (ms),Solenoid Check,Solenoid Current (mA),,Status Code,Error State,Error I2C,Error Timeout,Error Switch,Error Thermal,Power Cycles 1,Power Cycles 2,Motor Actuations 1,Motor Actuations 2,Switch Actuations 1,Switch Actautions 2,Solenoid Actuations 1,Solenoid Actuations 2
Thu Apr 21 2016,15:49:49,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:50:31,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Pass,Pass,75.5809783936,Pass,Pass,1741.25,Fail,35,Fail,23.3377218246,Fail,4.68324217895,5.5567681707,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:51:44,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:52:06,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Pass,Pass,75.0000000002,Pass,Pass,1746.0,Pass,92,Pass,9.4529531002,Fail,4.68324217895,5.5567681707,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:53:42,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:54:06,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Pass,Pass,75.0000000011,Pass,Pass,1746.0,Pass,86,Pass,11.896488905,Fail,4.68324217895,5.5567681707,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:59:42,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:59:51,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,16:01:32,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,16:02:12,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Fail,Pass,5.0,Fail,Fail,-1.25,Fail,43,Fail,0,Fail,4.64744208091,5.5567681707,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,16:03:21,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,16:03:43,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,16:04:23,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Pass,Pass,75.0054931641,Pass,Pass,1756.0,Fail,40,Fail,27.7783169746,Fail,4.64744206384,5.5567681707,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,16:06:45,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,16:07:13,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Pass,Pass,75.0000000489,Pass,Pass,1746.0,Pass,77,Pass,15.3567740917,Fail,4.64744206384,5.5567681707,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,16:08:42,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,16:09:05,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Pass,Pass,75.0,Pass,Pass,1746.0,Pass,88,Pass,11.0947890282,Fail,4.64744206384,5.5567681707,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
