Date,Time,FW_Ver,Type,SN,Action,FW_Ver,Type,SN,Sig 2 Check,Current Check,Current Value (mA),I2C Check,Heater Check,Heater Current (mA),Thermistor Check,Thermistor Value (Degrees C),Heater Time Check,Heater Time (ms),Stepper Impedance Check,Stepper Impedance - A (Ohm),Stepper Impedance - B (Ohm)Status Code,Error State,Error I2C,Error Timeout,Error Switch,Error Thermal,Power Cycles 1,Power Cycles 2,Motor Actuations 1,Motor Actuations 2,Switch Actuations 1,Switch Actautions 2,Solenoid Actuations 1,Solenoid Actuations 2
Date,Time,FW_Ver,Type,SN,Action,FW_Ver,Type,SN,Sig 2 Check,Current Check,Current Value (mA),I2C Check,Motor Check,Motor Current (mA),Actuate Down Check (ms),Actuate Up Check (ms),Solenoid Check,Solenoid Current (mA),placeholder,Status Code,Error State,Error I2C,Error Timeout,Error Switch,Error Thermal,Power Cycles 1,Power Cycles 2,Motor Actuations 1,Motor Actuations 2,Switch Actuations 1,Switch Actautions 2,Solenoid Actuations 1,Solenoid Actuations 2
Thu Apr 21 2016,17:17:46,0x00,0x00,0x0002,read,,,,,,,,,,,,,,,,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Thu Apr 21 2016,17:18:10,0x00,0x00,0x0002,read,,,,,,,,,,,,,,,,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Thu Apr 21 2016,17:24:23,0x00,0x00,0x0002,read,,,,,,,,,,,,,,,,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Thu Apr 21 2016,17:25:31,0x00,0x00,0x0002,read,,,,,,,,,,,,,,,,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Thu Apr 21 2016,17:25:37,0x00,0x00,0x0002,program,0x00,0x00,0x0002,,,,,,,,,,,,,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Thu Apr 21 2016,17:26:48,0x00,0x00,0x0002,read,,,,,,,,,,,,,,,,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Thu Apr 21 2016,17:27:24,0x00,0x00,0x0002,read,,,,,,,,,,,,,,,,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Thu Apr 21 2016,17:27:29,0x00,0x00,0x0002,test,0x00,0x00,0x0002,,,,,,,,,,,Fail,5.44605146406,4.93516483513,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Thu Apr 21 2016,17:28:18,0x00,0x00,0x0002,read,,,,,,,,,,,,,,,,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Thu Apr 21 2016,17:31:22,0x00,0x00,0x0002,read,,,,,,,,,,,,,,,,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Thu Apr 21 2016,17:31:28,0x00,0x00,0x0002,program,0x00,0x00,0x0002,,,,,,,,,,,,,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Thu Apr 21 2016,17:31:56,0x00,0x00,0x0002,test,0x00,0x00,0x0002,Pass,Pass,75.0,Pass,Pass,1741.0,Pass,75,Pass,18.7203030586,Fail,4.63375968975,7.66823681934,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Fri Apr 22 2016,13:26:04,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0xA0,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Fri Apr 22 2016,13:26:11,0x00,0x0f,0xffff,program,0x00,0x0f,0xffff,,,,,,,,,,,,,,0xFF,0xA0,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Fri Apr 22 2016,13:26:37,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Pass,Pass,10.0,Fail,,,,,,,Fail,1.0,,0xFF,0xA0,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Fri Apr 22 2016,13:30:00,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0xA0,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Fri Apr 22 2016,13:30:07,0x00,0x0f,0xffff,program,0x00,0x0f,0xffff,,,,,,,,,,,,,,0xFF,0xA0,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Fri Apr 22 2016,13:30:31,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Pass,Pass,10.0,Fail,,,,,,,Fail,1.0,,0xFF,0xA0,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Fri Apr 22 2016,13:35:37,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0xA0,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Fri Apr 22 2016,13:35:44,0x00,0x0f,0xffff,program,0x00,0x0f,0xffff,,,,,,,,,,,,,,0xFF,0xA0,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Fri Apr 22 2016,13:36:08,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Pass,Pass,10.0,Fail,,,,,,,Fail,0.999755847264,,0xFF,0xA0,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Fri Apr 22 2016,13:40:03,0x00,0x00,0x0002,read,,,,,,,,,,,,,,,,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Fri Apr 22 2016,13:40:10,0x00,0x00,0x0002,program,0x00,0x00,0x0002,,,,,,,,,,,,,,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
Fri Apr 22 2016,13:40:48,0x00,0x00,0x0002,test,0x00,0x00,0x0002,Pass,Pass,7.51352617962,Pass,Fail,1.25,Fail,80,Fail,0,Pass,4.93522666112,4.39863515701,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
